web-scraper-order,web-scraper-start-url,coctail-preview,coctail-preview-href,ingredient,ingredient amount,tool,tool-amount,coctail,recipe-steps,coctail-description,image
"1585861085-1079","https://ru.inshaker.com/cocktails?random_page=2000","Дымный","https://ru.inshaker.com/cocktails/388-dymnyy","[{""ingredient"":""Шотландский виски""},{""ingredient"":""Ванильный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Копченый чай""},{""ingredient"":""Апельсиновая цедра""},{""ingredient"":""Лед в кубиках""},{""ingredient"":""Дробленый лед""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""50""},{""ingredient amount"":""1""},{""ingredient amount"":""200""},{""ingredient amount"":""150""}]","[{""tool"":""Рокс""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Стрейнер""},{""tool"":""Коктейльная ложка""},{""tool"":""Шейкер""},{""tool"":""Джиггер""},{""tool"":""Нож для цедры""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Дымный","[{""recipe-steps"":""Наполни рокс дробленым льдом доверху""},{""recipe-steps"":""Налей в шейкер лимонный сок 15 мл, ванильный сироп 20 мл и шотландский виски 50 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер в рокс""},{""recipe-steps"":""Долей охлажденный копченый чай доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Досыпь немного дробленого льда""},{""recipe-steps"":""Проведи по краю бокала апельсиновой цедрой и укрась ею коктейль""}]","Вам нравятся шорты? Тогда попробуйте этот пряный и сладкий коктейль на основе виски, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/388/1542205265-Cigarette_promo.jpg"");"
"1585860268-701","https://ru.inshaker.com/cocktails?random_page=2000","Алые паруса","https://ru.inshaker.com/cocktails/144-alye-parusa","[{""ingredient"":""Сироп розы""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Спрайт""},{""ingredient"":""Лепестки роз""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""120""},{""ingredient amount"":""3""},{""ingredient amount"":""180""}]","[{""tool"":""Хайбол""},{""tool"":""Коктейльная ложка""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Джиггер""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Алые паруса","[{""recipe-steps"":""Наполни хайбол кубиками льда доверху""},{""recipe-steps"":""Налей лимонный сок 15 мл и сироп розы 20 мл""},{""recipe-steps"":""Долей спрайт доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась лепестками роз""}]","Вам нравятся лонги и физзы? Тогда попробуйте этот безалкогольный цитрусовый, цветочный и сладкий коктейль на основе газировки.","background-image: url(""/uploads/cocktail/promo/144/1542205121-Scarlet_sails-promo.jpg"");"
"1585860086-616","https://ru.inshaker.com/cocktails?random_page=2000","Мелоник","https://ru.inshaker.com/cocktails/608-melonik","[{""ingredient"":""Дынный ликер BOLS""},{""ingredient"":""Лаймовый сок""},{""ingredient"":""Тоник""},{""ingredient"":""Лайм""},{""ingredient"":""Дробленый лед""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""10""},{""ingredient amount"":""150""},{""ingredient amount"":""10""},{""ingredient amount"":""60""},{""ingredient amount"":""180""}]","[{""tool"":""Хайбол""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Джиггер""},{""tool"":""Коктейльная ложка""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Мелоник","[{""recipe-steps"":""Наполни хайбол кубиками льда доверху""},{""recipe-steps"":""Налей лаймовый сок 10 мл и дынный ликер 50 мл""},{""recipe-steps"":""Долей тоник доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Досыпь немного дробленого льда""},{""recipe-steps"":""Укрась кружком лайма""}]","Вам нравятся простые лонги и миксы? Тогда попробуйте этот горький коктейль на основе ликера, алкогольный и слабоалкогольный.","background-image: url(""/uploads/cocktail/promo/608/1542205369-The-Sting-_promo.jpg"");"
"1585860756-922","https://ru.inshaker.com/cocktails?random_page=2000","Оранжевая душа","https://ru.inshaker.com/cocktails/685-oranzhevaya-dusha","[{""ingredient"":""Лондонский сухой джин""},{""ingredient"":""Ликер трипл сек BOLS""},{""ingredient"":""Медовый сироп""},{""ingredient"":""Апельсиновый сок""},{""ingredient"":""Морковный сок""},{""ingredient"":""Молотая корица""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""40""},{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""20""},{""ingredient amount"":""30""},{""ingredient amount"":""1""},{""ingredient amount"":""350""}]","[{""tool"":""Слинг""},{""tool"":""Шейкер""},{""tool"":""Стрейнер""},{""tool"":""Джиггер""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Оранжевая душа","[{""recipe-steps"":""Наполни слинг кубиками льда доверху""},{""recipe-steps"":""Налей в шейкер морковный сок 30 мл, апельсиновый сок 20 мл, медовый сироп 15 мл, ликер трипл сек 20 мл и джин 40 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер в слинг""},{""recipe-steps"":""Укрась молотой корицей""}]","Вам нравятся лонги? Тогда попробуйте этот крепкий цитрусовый, овощной и сладкий коктейль на основе джина.","background-image: url(""/uploads/cocktail/promo/685/1542205403-Orange-Shower-_promo.jpg"");"
"1585859842-510","https://ru.inshaker.com/cocktails?random_page=2000","Тодди грог","https://ru.inshaker.com/cocktails/885-toddi-grog","[{""ingredient"":""Темный ром Bacardi""},{""ingredient"":""Гренадин""},{""ingredient"":""Черный чай""},{""ingredient"":""Лимон""},{""ingredient"":""Апельсин""},{""ingredient"":""Карамбола""},{""ingredient"":""Мята""},{""ingredient"":""Гвоздика""},{""ingredient"":""Молотая корица""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""20""},{""ingredient amount"":""150""},{""ingredient amount"":""40""},{""ingredient amount"":""75""},{""ingredient amount"":""15""},{""ingredient amount"":""1""},{""ingredient amount"":""2""},{""ingredient amount"":""1""}]","[{""tool"":""Бокал для ирландского кофе""},{""tool"":""Коктейльная ложка""},{""tool"":""Джиггер""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Тодди грог","[{""recipe-steps"":""Положи в бокал для ирландского кофе по одной мелко нарезанной четвертинке апельсина и лимона""},{""recipe-steps"":""Добавь щепотку молотой корицы и гвоздику 2 шт.""},{""recipe-steps"":""Налей гренадин 20 мл и темный ром 50 мл""},{""recipe-steps"":""Долей горячий черный чай доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась карамболой и веточкой мяты""}]","Вам нравится грог? Тогда попробуйте Тодди грог. Это слабоалкогольный, цитрусовый, пряный и сладкий коктейль на основе рома.","background-image: url(""/uploads/cocktail/promo/885/1542205501-Toddy_grog-promo.jpg"");"
"1585858946-142","https://ru.inshaker.com/cocktails?random_page=2000","Голландский дом","https://ru.inshaker.com/cocktails/1433-gollandskiy-dom","[{""ingredient"":""Дженевер""},{""ingredient"":""Сухой вермут""},{""ingredient"":""Ликер мараскино BOLS""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Лимонная цедра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""20""},{""ingredient amount"":""5""},{""ingredient amount"":""15""},{""ingredient amount"":""1""},{""ingredient amount"":""200""}]","[{""tool"":""Бокал сауэр""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Джиггер""},{""tool"":""Шейкер""},{""tool"":""Стрейнер""},{""tool"":""Нож для цедры""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Голландский дом","[{""recipe-steps"":""Налей в шейкер лимонный сок 15 мл и ликер мараскино 5 мл""},{""recipe-steps"":""Добавь сухой вермут 20 мл и дженевер 50 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и тщательно взбей""},{""recipe-steps"":""Перелей через стрейнер в охлажденный бокал сауэр""},{""recipe-steps"":""Укрась лимонной цедрой""}]","Вам нравится мартини? Тогда попробуйте Голландский дом. Это кислый коктейль на основе джина, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/1433/1542205660-Holland_house_960%D1%85600.jpg"");"
"1585860046-597","https://ru.inshaker.com/cocktails?random_page=2000","Водка мандарин","https://ru.inshaker.com/cocktails/280-vodka-mandarin","[{""ingredient"":""Водка Finlandia""},{""ingredient"":""Мандариновый сок""},{""ingredient"":""Мандарин""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""150""},{""ingredient amount"":""20""},{""ingredient amount"":""180""}]","[{""tool"":""Хайбол""},{""tool"":""Джиггер""},{""tool"":""Коктейльная ложка""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Водка мандарин","[{""recipe-steps"":""Наполни хайбол кубиками льда доверху""},{""recipe-steps"":""Налей водку 50 мл""},{""recipe-steps"":""Долей мандариновый сок доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась двумя дольками мандарина""}]","Вам нравятся лонги и простые миксы? Тогда попробуйте этот цитрусовый и сладкий коктейль на основе водки, алкогольный и слабоалкогольный.","background-image: url(""/uploads/cocktail/promo/280/1542205197-Vodka_with_tangerine_juice-promo.jpg"");"
"1585859018-176","https://ru.inshaker.com/cocktails?random_page=2000","Регалия Ионы","https://ru.inshaker.com/cocktails/1423-regaliya-iony","[{""ingredient"":""Шотландский виски""},{""ingredient"":""Мастиха""},{""ingredient"":""Сироп пряная тыква""},{""ingredient"":""Молотая корица""},{""ingredient"":""Миндальное молоко""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""30""},{""ingredient amount"":""20""},{""ingredient amount"":""35""},{""ingredient amount"":""3""},{""ingredient amount"":""30""},{""ingredient amount"":""200""}]","[{""tool"":""Чашка""},{""tool"":""Джиггер""},{""tool"":""Шейкер""},{""tool"":""Стрейнер""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Регалия Ионы","[{""recipe-steps"":""Налей в шейкер миндальное молоко 30 мл и сироп пряная тыква 35 мл""},{""recipe-steps"":""Добавь мастиху 20 мл и шотландский виски 30 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и тщательно взбей""},{""recipe-steps"":""Перелей через стрейнер в чашку""},{""recipe-steps"":""Укрась молотой корицей""}]","Вам нравятся лонги? Тогда попробуйте этот слабоалкогольный сливочный коктейль на основе виски.","background-image: url(""/uploads/cocktail/promo/1423/1542205656-Iona_s_Rwgalia_960%D1%85600.jpg"");"
"1585860559-829","https://ru.inshaker.com/cocktails?random_page=2000","Витаминный лимонад в кувшине","https://ru.inshaker.com/cocktails/269-vitaminnyy-limonad-v-kuvshine","[{""ingredient"":""Сироп маракуйи""},{""ingredient"":""Лаймовый сок""},{""ingredient"":""Апельсиновый сок""},{""ingredient"":""Содовая""},{""ingredient"":""Манго""},{""ingredient"":""Огурец""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""10""},{""ingredient amount"":""150""},{""ingredient amount"":""500""},{""ingredient amount"":""75""},{""ingredient amount"":""50""},{""ingredient amount"":""450""}]","[{""tool"":""Хайбол""},{""tool"":""Кувшин""},{""tool"":""Джиггер""},{""tool"":""Коктейльная ложка""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Трубочки""},{""tool"":""Блендер""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""},{""tool-amount"":""1""}]","Витаминный лимонад в кувшине","[{""recipe-steps"":""Литрового кувшина хватит примерно на 4 хайбола""},{""recipe-steps"":""Наполни кувшин кубиками льда на 2/3""},{""recipe-steps"":""Положи в блендер очищенную и нарезанную четвертинку манго""},{""recipe-steps"":""Налей лаймовый сок 10 мл, апельсиновый сок 150 мл и сироп маракуйи 50 мл""},{""recipe-steps"":""Взбей в блендере без добавления льда и перелей в кувшин""},{""recipe-steps"":""Долей содовую доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась кружками огурца""}]","Вам нравится лимонад? Тогда попробуйте Витаминный лимонад в кувшине. Это безалкогольный цитрусовый, фруктовый, тропический и сладкий коктейль на основе содовой.","background-image: url(""/uploads/cocktail/promo/269/1542205192-Vitamin-Lemonade-_promo.jpg"");"
"1585860985-1031","https://ru.inshaker.com/cocktails?random_page=2000","Пенициллин","https://ru.inshaker.com/cocktails/1086-penitsillin","[{""ingredient"":""Шотландский виски""},{""ingredient"":""Домашний медово-имбирный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Апельсиновая цедра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""60""},{""ingredient amount"":""15""},{""ingredient amount"":""15""},{""ingredient amount"":""1""},{""ingredient amount"":""320""}]","[{""tool"":""Рокс""},{""tool"":""Джиггер""},{""tool"":""Шейкер""},{""tool"":""Нож для цедры""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Пенициллин","[{""recipe-steps"":""Наполни рокс кубиками льда доверху""},{""recipe-steps"":""Налей в шейкер лимонный сок 15 мл и медовый сироп 15 мл""},{""recipe-steps"":""Добавь шотландский виски 60 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер в бокал""},{""recipe-steps"":""Укрась апельсиновой цедрой""}]","Хотите попробовать ""Пенициллин""? Это крепкий коктейль на виски с лимонным соком и медово-имбирным сиропом. На вкус он пряный с небольшой кислинкой. Между прочим, это первый коктейль с односолодовым виски в составе, так что попробовать его стоит хотя бы для того, чтобы приобщиться к истории миксологии.","background-image: url(""/uploads/cocktail/promo/1086/1542205559-com_960x600.jpg"");"
